"Event Time","Exit Event ID","POS Transaction ID","EPC","Site Code","Read Point","Last Read Time","Product Code","Color","Size","Manuf","Article","Ref Number","Style","att1","att2"
"2023-03-09T09:27:40Z","Event ID 5","POS Transaction ID 6","EPC 1","Site 10","READ POINT 2","2023-04-27T02:07:01Z","Product 2","Black","XXS","Nike","Article3","Ref1","Style8","check3","att2"
"2020-08-09T11:52:07Z","Event ID 1","POS Transaction ID 5","EPC 1","Site 14","READ POINT 4","2022-06-03T05:06:42Z","Product 3","Blue","XS","Madame","Article6","Ref6","Style7","check2","atts"
"2021-12-28T07:35:52Z","Event ID 7","POS Transaction ID 5","EPC 3","Site 10","READ POINT 2","2022-09-29T10:16:45Z","Product 5","Red","XXL","Nike","Article7","Ref8","Style6","check3","atts"
"2021-03-25T06:53:06Z","Event ID 7","POS Transaction ID 6","EPC 1","Site 12","READ POINT 3","2023-06-14T01:31:27Z","Product 2","Blue","S","Zara","Article6","Ref5","Style4","check3","atts"
"2022-06-03T15:38:26Z","Event ID 8","POS Transaction ID 3","EPC 1","Site 13","READ POINT 5","2023-06-25T16:42:50Z","Product 2","Green","XL","Madame","Article5","Ref4","Style7","check3","att3"
"2023-05-11T22:34:30Z","Event ID 4","POS Transaction ID 1","EPC 3","Site 13","READ POINT 2","2023-03-07T22:23:49Z","Product 3","White","M","Madame","Artical4","Ref2","Style6","check2","atts"
"2021-06-26T11:00:18Z","Event ID 4","POS Transaction ID 1","EPC 3","Site 14","READ POINT 2","2023-04-01T02:03:15Z","Product 2","Red","XXXL","Lee Cooper","Article8","Ref6","Style4","check2","att3"
"2020-07-09T11:01:50Z","Event ID 6","POS Transaction ID 6","EPC 4","Site 10","READ POINT 1","2023-05-20T06:40:15Z","Product 1","Yellow","XXS","Zara","Article1","Ref7","Style6","check1","att3"
"2022-05-20T19:16:36Z","Event ID 4","POS Transaction ID 5","EPC 1","Site 12","READ POINT 1","2022-07-18T01:09:53Z","Product 2","Green","M","Lee Cooper","Artical4","Ref3","Style1","check3","att2"
"2022-11-30T19:24:55Z","Event ID 2","POS Transaction ID 2","EPC 5","Site 14","READ POINT 4","2023-04-08T21:11:47Z","Product 2","Blue","XXL","Adidas","Article7","Ref3","Style5","check1","att3"
"2020-09-07T06:15:01Z","Event ID 6","POS Transaction ID 2","EPC 5","Site 12","READ POINT 3","2022-11-10T22:07:21Z","Product 3","Red","XL","Adidas","Artical4","Ref8","Style8","check1","att2"
"2022-04-27T02:44:32Z","Event ID 5","POS Transaction ID 5","EPC 4","Site 12","READ POINT 2","2023-01-13T05:34:36Z","Product 2","Orange","L","Madame","Artical4","Ref5","Style8","check2","att2"
"2022-10-30T21:33:04Z","Event ID 7","POS Transaction ID 6","EPC 4","Site 11","READ POINT 1","2023-01-26T16:23:40Z","Product 2","Blue","XL","Adidas","Article7","Ref7","Style2","check3","att2"
"2020-07-15T15:46:12Z","Event ID 9","POS Transaction ID 5","EPC 3","Site 11","READ POINT 5","2022-09-24T22:54:06Z","Product 5","Orange","S","Nike","Article7","Ref6","Style7","check2","att3"
"2023-02-19T04:29:53Z","Event ID 1","POS Transaction ID 3","EPC 1","Site 14","READ POINT 1","2023-01-22T05:42:42Z","Product 1","Black","L","Puma","Article7","Ref7","Style3","check1","att2"
"2021-03-22T13:40:44Z","Event ID 6","POS Transaction ID 2","EPC 1","Site 14","READ POINT 1","2023-03-04T19:32:35Z","Product 5","Blue","XS","Adidas","Article7","Ref6","Style2","check3","att2"
"2020-07-15T13:31:11Z","Event ID 4","POS Transaction ID 3","EPC 5","Site 13","READ POINT 2","2022-07-13T00:16:44Z","Product 2","Red","XXXL","Zara","Article8","Ref7","Style8","check1","atts"
"2022-12-14T01:21:05Z","Event ID 1","POS Transaction ID 2","EPC 3","Site 14","READ POINT 2","2022-11-22T23:02:49Z","Product 5","Green","XXL","Madame","Article8","Ref3","Style6","check1","atts"
"2022-07-18T03:10:29Z","Event ID 4","POS Transaction ID 1","EPC 4","Site 15","READ POINT 3","2022-06-08T20:41:19Z","Product 3","Yellow","XL","Bata","Article7","Ref3","Style3","check3","att3"
"2020-09-25T03:52:00Z","Event ID 7","POS Transaction ID 2","EPC 2","Site 15","READ POINT 1","2022-07-31T20:54:34Z","Product 5","Orange","M","Puma","Artical4","Ref6","Style2","check3","att3"
"2023-04-16T09:12:16Z","Event ID 6","POS Transaction ID 5","EPC 1","Site 12","READ POINT 4","2022-12-04T02:14:50Z","Product 3","Red","L","Madame","Article5","Ref5","Style5","check3","att3"
"2022-04-24T08:31:35Z","Event ID 7","POS Transaction ID 6","EPC 5","Site 12","READ POINT 1","2022-11-28T23:39:33Z","Product 2","Orange","XL","Madame","Article6","Ref8","Style2","check2","att3"
"2020-10-22T02:19:53Z","Event ID 2","POS Transaction ID 1","EPC 2","Site 14","READ POINT 5","2022-12-11T00:28:40Z","Product 3","Yellow","M","Adidas","Article3","Ref8","Style6","check1","att3"
"2021-11-26T05:46:29Z","Event ID 7","POS Transaction ID 6","EPC 1","Site 11","READ POINT 4","2022-11-12T18:37:12Z","Product 3","White","XL","Lee Cooper","Article5","Ref5","Style8","check2","atts"
"2020-06-29T16:21:34Z","Event ID 6","POS Transaction ID 5","EPC 5","Site 13","READ POINT 4","2022-09-14T15:20:07Z","Product 4","Yellow","XL","Nike","Article5","Ref3","Style8","check1","atts"
"2022-03-12T03:16:32Z","Event ID 2","POS Transaction ID 6","EPC 3","Site 14","READ POINT 3","2022-10-18T06:07:31Z","Product 1","Blue","XS","Zara","Article1","Ref3","Style1","check2","att4"
"2021-04-03T21:17:50Z","Event ID 9","POS Transaction ID 6","EPC 2","Site 14","READ POINT 4","2022-07-08T15:23:59Z","Product 1","Red","XS","Puma","Article2","Ref5","Style5","check1","atts"
"2023-04-08T22:20:11Z","Event ID 1","POS Transaction ID 6","EPC 4","Site 12","READ POINT 1","2023-01-06T09:40:22Z","Product 5","Blue","XS","Nike","Article3","Ref5","Style8","check2","atts"
"2021-08-19T21:43:09Z","Event ID 3","POS Transaction ID 6","EPC 2","Site 10","READ POINT 3","2022-11-05T18:52:03Z","Product 3","Pink","L","Zara","Article7","Ref8","Style5","check1","att2"
"2020-12-28T03:05:27Z","Event ID 2","POS Transaction ID 4","EPC 2","Site 15","READ POINT 4","2023-01-18T09:02:30Z","Product 4","White","M","Madame","Article1","Ref2","Style7","check2","att2"
"2022-03-29T03:29:30Z","Event ID 1","POS Transaction ID 2","EPC 1","Site 11","READ POINT 3","2023-01-31T00:15:07Z","Product 2","Blue","XXXL","Adidas","Article2","Ref7","Style2","check1","att2"
"2020-11-17T16:04:35Z","Event ID 4","POS Transaction ID 2","EPC 5","Site 14","READ POINT 1","2023-03-20T08:14:02Z","Product 5","Blue","L","Bata","Article2","Ref6","Style4","check2","att3"
"2021-01-29T18:12:31Z","Event ID 2","POS Transaction ID 6","EPC 5","Site 12","READ POINT 4","2023-01-17T02:54:48Z","Product 1","Blue","S","Bata","Article1","Ref2","Style7","check1","att3"
"2020-07-14T07:44:52Z","Event ID 2","POS Transaction ID 5","EPC 1","Site 14","READ POINT 3","2023-01-08T00:52:32Z","Product 4","White","XXS","Lee Cooper","Article7","Ref2","Style3","check3","att4"
"2022-10-12T10:26:40Z","Event ID 7","POS Transaction ID 6","EPC 5","Site 15","READ POINT 1","2023-02-05T17:40:02Z","Product 4","Orange","M","Adidas","Article3","Ref3","Style7","check1","atts"
"2021-05-12T16:52:47Z","Event ID 1","POS Transaction ID 5","EPC 5","Site 14","READ POINT 5","2023-02-27T14:23:09Z","Product 3","Orange","S","Bata","Article2","Ref4","Style3","check3","atts"
"2021-03-07T18:40:53Z","Event ID 9","POS Transaction ID 5","EPC 3","Site 13","READ POINT 5","2023-06-09T21:24:26Z","Product 3","Yellow","XS","Madame","Article7","Ref4","Style2","check3","att2"
"2022-03-10T06:09:54Z","Event ID 6","POS Transaction ID 3","EPC 4","Site 10","READ POINT 2","2022-09-30T11:47:01Z","Product 2","Pink","XXL","Zara","Article8","Ref3","Style8","check1","att2"
"2022-03-12T07:02:25Z","Event ID 2","POS Transaction ID 6","EPC 1","Site 11","READ POINT 3","2022-09-05T09:22:48Z","Product 5","Black","M","Nike","Article3","Ref4","Style5","check3","att2"
"2021-03-24T03:16:30Z","Event ID 5","POS Transaction ID 6","EPC 5","Site 11","READ POINT 2","2022-09-08T06:09:43Z","Product 1","Yellow","XL","Lee Cooper","Article7","Ref3","Style7","check1","att3"
"2022-07-19T14:27:40Z","Event ID 3","POS Transaction ID 4","EPC 5","Site 12","READ POINT 3","2023-03-19T08:11:14Z","Product 1","Pink","XXL","Lee Cooper","Article6","Ref3","Style7","check2","att3"
"2020-12-02T21:02:04Z","Event ID 5","POS Transaction ID 2","EPC 1","Site 14","READ POINT 2","2022-08-11T21:23:37Z","Product 4","Red","XXS","Madame","Article2","Ref5","Style4","check1","att4"
"2021-07-21T17:47:02Z","Event ID 8","POS Transaction ID 5","EPC 3","Site 12","READ POINT 4","2022-06-01T22:59:06Z","Product 2","Orange","XL","Puma","Article2","Ref6","Style6","check1","att2"
"2023-01-27T01:37:57Z","Event ID 1","POS Transaction ID 4","EPC 3","Site 11","READ POINT 2","2023-05-21T00:30:37Z","Product 4","Red","XXL","Lee Cooper","Article5","Ref2","Style2","check3","att4"
"2022-05-02T10:43:07Z","Event ID 7","POS Transaction ID 1","EPC 4","Site 12","READ POINT 1","2022-12-13T02:20:51Z","Product 5","Blue","XXL","Madame","Article7","Ref1","Style3","check2","att2"
"2021-06-05T04:37:14Z","Event ID 6","POS Transaction ID 1","EPC 2","Site 10","READ POINT 2","2023-03-16T12:55:24Z","Product 5","Orange","XXXL","Bata","Article7","Ref4","Style7","check2","atts"
"2020-08-20T00:47:55Z","Event ID 2","POS Transaction ID 5","EPC 4","Site 13","READ POINT 5","2022-08-19T02:16:42Z","Product 4","White","XXL","Madame","Article7","Ref4","Style1","check2","att4"
"2021-07-31T08:04:41Z","Event ID 6","POS Transaction ID 4","EPC 1","Site 12","READ POINT 4","2023-04-12T09:54:48Z","Product 4","Yellow","XL","Adidas","Article5","Ref2","Style2","check3","att3"
"2020-08-07T14:27:47Z","Event ID 3","POS Transaction ID 4","EPC 4","Site 14","READ POINT 1","2022-10-09T13:16:47Z","Product 2","Yellow","XXXL","Nike","Artical4","Ref3","Style2","check2","att4"
"2020-06-06T09:34:01Z","Event ID 8","POS Transaction ID 1","EPC 4","Site 15","READ POINT 5","2022-09-18T12:30:04Z","Product 3","Green","XS","Puma","Article2","Ref7","Style3","check2","att3"
"2020-12-30T03:52:28Z","Event ID 2","POS Transaction ID 3","EPC 4","Site 14","READ POINT 5","2022-09-13T08:55:36Z","Product 4","Pink","XXS","Lee Cooper","Article3","Ref8","Style4","check3","att2"
"2022-05-01T00:43:00Z","Event ID 5","POS Transaction ID 3","EPC 4","Site 15","READ POINT 3","2022-11-19T01:55:56Z","Product 1","Orange","XXL","Adidas","Article6","Ref4","Style5","check1","atts"
"2023-01-01T15:13:53Z","Event ID 9","POS Transaction ID 2","EPC 1","Site 11","READ POINT 5","2022-10-25T06:43:04Z","Product 2","Black","S","Bata","Article5","Ref4","Style7","check2","att2"
"2022-04-13T13:43:23Z","Event ID 7","POS Transaction ID 2","EPC 1","Site 15","READ POINT 1","2022-12-26T21:42:40Z","Product 2","Orange","XXXL","Lee Cooper","Article5","Ref7","Style8","check1","att3"
"2022-03-01T00:57:56Z","Event ID 1","POS Transaction ID 1","EPC 3","Site 12","READ POINT 3","2022-12-28T15:21:12Z","Product 4","Red","XXL","Adidas","Article2","Ref3","Style3","check2","att4"
"2020-08-15T00:55:03Z","Event ID 5","POS Transaction ID 1","EPC 1","Site 15","READ POINT 1","2022-09-16T18:09:19Z","Product 5","Red","S","Nike","Article8","Ref4","Style6","check3","atts"
"2021-11-12T23:40:28Z","Event ID 8","POS Transaction ID 1","EPC 4","Site 11","READ POINT 3","2022-11-26T20:11:24Z","Product 2","Orange","XXS","Zara","Article3","Ref5","Style2","check3","atts"
"2022-11-22T22:56:00Z","Event ID 8","POS Transaction ID 3","EPC 1","Site 14","READ POINT 2","2022-06-17T21:07:32Z","Product 5","Yellow","XL","Puma","Article7","Ref7","Style8","check3","att3"
"2022-04-02T19:57:41Z","Event ID 7","POS Transaction ID 6","EPC 3","Site 13","READ POINT 4","2022-10-21T13:07:32Z","Product 1","Red","S","Zara","Article1","Ref6","Style3","check2","att3"
"2022-04-01T05:30:38Z","Event ID 9","POS Transaction ID 4","EPC 5","Site 11","READ POINT 3","2023-03-12T11:33:55Z","Product 4","Yellow","XS","Nike","Article8","Ref6","Style2","check2","att4"
"2021-08-30T21:03:53Z","Event ID 9","POS Transaction ID 1","EPC 4","Site 12","READ POINT 1","2023-01-26T00:32:38Z","Product 4","White","L","Madame","Article8","Ref3","Style4","check2","att3"
"2021-08-07T22:13:36Z","Event ID 2","POS Transaction ID 1","EPC 5","Site 12","READ POINT 5","2022-11-28T15:08:42Z","Product 5","Green","L","Puma","Article2","Ref8","Style5","check3","att3"
"2021-01-15T21:52:47Z","Event ID 5","POS Transaction ID 1","EPC 4","Site 10","READ POINT 5","2023-01-09T06:11:45Z","Product 5","White","XS","Nike","Artical4","Ref5","Style8","check3","att4"
"2020-11-23T01:59:36Z","Event ID 7","POS Transaction ID 4","EPC 4","Site 15","READ POINT 1","2022-08-01T09:52:07Z","Product 1","Black","M","Madame","Article1","Ref8","Style1","check3","att2"
"2021-03-30T22:03:18Z","Event ID 2","POS Transaction ID 5","EPC 3","Site 10","READ POINT 4","2022-10-26T15:41:53Z","Product 4","Pink","XXL","Bata","Article7","Ref8","Style2","check2","atts"
"2021-07-02T13:37:34Z","Event ID 1","POS Transaction ID 1","EPC 4","Site 12","READ POINT 1","2023-05-19T15:36:14Z","Product 5","Pink","XL","Madame","Article2","Ref1","Style5","check3","att3"
"2021-10-18T03:21:56Z","Event ID 6","POS Transaction ID 1","EPC 3","Site 14","READ POINT 3","2023-06-23T12:05:20Z","Product 1","Orange","XXL","Madame","Article2","Ref5","Style6","check1","atts"
"2021-08-14T12:36:28Z","Event ID 7","POS Transaction ID 1","EPC 2","Site 14","READ POINT 5","2022-12-16T10:19:27Z","Product 1","Orange","XXXL","Puma","Article2","Ref3","Style7","check3","atts"
"2023-04-13T01:20:37Z","Event ID 9","POS Transaction ID 1","EPC 1","Site 13","READ POINT 4","2023-05-12T14:23:45Z","Product 4","Orange","XXXL","Zara","Article5","Ref1","Style2","check2","att2"
"2023-02-08T10:42:49Z","Event ID 7","POS Transaction ID 3","EPC 4","Site 10","READ POINT 1","2023-01-07T08:43:21Z","Product 1","Pink","XL","Zara","Article8","Ref5","Style6","check3","att3"
"2023-01-19T18:34:25Z","Event ID 3","POS Transaction ID 5","EPC 5","Site 10","READ POINT 1","2022-10-13T00:51:27Z","Product 2","Orange","XL","Puma","Article6","Ref8","Style2","check3","atts"
"2021-10-31T08:30:16Z","Event ID 1","POS Transaction ID 1","EPC 2","Site 14","READ POINT 4","2022-12-12T13:52:18Z","Product 4","Blue","XXS","Adidas","Article6","Ref3","Style7","check3","att2"
"2021-02-12T11:19:18Z","Event ID 2","POS Transaction ID 3","EPC 1","Site 15","READ POINT 3","2023-04-18T21:42:41Z","Product 2","Orange","XS","Zara","Article3","Ref7","Style6","check1","att2"
"2022-04-23T08:41:23Z","Event ID 3","POS Transaction ID 2","EPC 2","Site 14","READ POINT 1","2023-01-15T21:59:30Z","Product 5","Red","S","Madame","Article2","Ref2","Style5","check2","att4"
"2023-02-14T08:38:33Z","Event ID 8","POS Transaction ID 6","EPC 2","Site 10","READ POINT 5","2023-01-25T07:40:03Z","Product 5","Pink","XXS","Madame","Article8","Ref7","Style1","check2","atts"
"2020-07-15T02:24:47Z","Event ID 8","POS Transaction ID 5","EPC 4","Site 12","READ POINT 4","2022-07-13T07:40:30Z","Product 5","Orange","L","Adidas","Article3","Ref2","Style3","check3","att4"
"2021-09-07T16:34:33Z","Event ID 2","POS Transaction ID 3","EPC 5","Site 12","READ POINT 1","2022-08-09T14:24:48Z","Product 3","Orange","S","Adidas","Article3","Ref5","Style2","check2","atts"
"2020-12-11T14:49:14Z","Event ID 4","POS Transaction ID 4","EPC 3","Site 11","READ POINT 4","2023-06-20T01:50:30Z","Product 5","White","XXS","Bata","Article1","Ref1","Style6","check2","att3"
"2020-08-22T21:04:58Z","Event ID 8","POS Transaction ID 4","EPC 3","Site 15","READ POINT 5","2022-08-27T23:54:45Z","Product 2","Pink","XXS","Adidas","Article3","Ref1","Style6","check1","att4"
"2022-11-13T00:22:52Z","Event ID 9","POS Transaction ID 3","EPC 2","Site 15","READ POINT 2","2022-07-12T12:45:56Z","Product 2","Green","L","Nike","Article8","Ref6","Style6","check1","att4"
"2020-07-15T04:54:03Z","Event ID 4","POS Transaction ID 2","EPC 4","Site 12","READ POINT 1","2023-01-21T08:58:20Z","Product 3","Blue","XL","Nike","Article6","Ref5","Style1","check2","att4"
"2020-09-15T08:44:29Z","Event ID 2","POS Transaction ID 6","EPC 2","Site 14","READ POINT 5","2023-04-26T20:01:42Z","Product 2","Yellow","XXS","Puma","Artical4","Ref7","Style4","check3","att3"
"2021-11-01T19:10:10Z","Event ID 5","POS Transaction ID 2","EPC 4","Site 13","READ POINT 5","2023-04-16T14:32:22Z","Product 3","White","XXXL","Madame","Article5","Ref1","Style4","check2","att3"
"2021-04-06T13:23:14Z","Event ID 1","POS Transaction ID 6","EPC 1","Site 12","READ POINT 4","2023-03-29T16:48:57Z","Product 3","Black","XS","Bata","Article7","Ref2","Style3","check3","att3"
"2020-06-03T08:11:43Z","Event ID 9","POS Transaction ID 5","EPC 1","Site 12","READ POINT 5","2023-02-28T08:48:43Z","Product 2","Green","M","Zara","Article7","Ref8","Style8","check2","atts"
"2021-04-24T05:04:50Z","Event ID 5","POS Transaction ID 6","EPC 3","Site 11","READ POINT 5","2022-08-19T23:13:09Z","Product 1","Yellow","XS","Nike","Article3","Ref1","Style7","check2","att2"
"2021-11-24T03:17:01Z","Event ID 2","POS Transaction ID 3","EPC 5","Site 10","READ POINT 5","2022-11-26T15:55:05Z","Product 2","Yellow","XXS","Lee Cooper","Article8","Ref7","Style6","check1","att4"
"2021-04-06T13:40:12Z","Event ID 2","POS Transaction ID 3","EPC 4","Site 13","READ POINT 2","2022-12-01T06:00:48Z","Product 2","Black","L","Madame","Article5","Ref6","Style8","check3","att2"
"2021-06-13T00:25:03Z","Event ID 8","POS Transaction ID 5","EPC 2","Site 12","READ POINT 5","2022-11-09T22:19:40Z","Product 3","Pink","XL","Bata","Article8","Ref4","Style2","check3","atts"
"2022-02-06T11:19:31Z","Event ID 6","POS Transaction ID 3","EPC 4","Site 12","READ POINT 1","2022-08-25T03:30:03Z","Product 4","Blue","M","Lee Cooper","Article2","Ref3","Style2","check1","att2"
"2020-08-20T01:21:06Z","Event ID 6","POS Transaction ID 3","EPC 4","Site 10","READ POINT 3","2023-04-05T12:18:38Z","Product 5","Blue","L","Adidas","Article8","Ref1","Style6","check2","att2"
"2023-04-07T17:39:38Z","Event ID 8","POS Transaction ID 1","EPC 5","Site 12","READ POINT 5","2022-12-13T08:23:09Z","Product 5","Green","XS","Nike","Article2","Ref4","Style5","check3","att4"
"2021-01-29T20:00:32Z","Event ID 6","POS Transaction ID 5","EPC 5","Site 11","READ POINT 1","2023-05-12T10:28:41Z","Product 4","Red","XL","Lee Cooper","Artical4","Ref6","Style4","check1","att3"
"2021-05-23T09:35:14Z","Event ID 1","POS Transaction ID 5","EPC 5","Site 13","READ POINT 3","2023-01-01T14:34:52Z","Product 2","Green","XXXL","Bata","Article1","Ref8","Style1","check3","att2"
"2021-12-22T00:07:20Z","Event ID 4","POS Transaction ID 2","EPC 3","Site 10","READ POINT 1","2022-10-07T09:33:54Z","Product 3","Black","L","Nike","Article1","Ref5","Style8","check2","att2"
"2022-08-02T21:38:13Z","Event ID 2","POS Transaction ID 1","EPC 3","Site 15","READ POINT 3","2022-11-16T20:27:23Z","Product 1","Orange","S","Nike","Article3","Ref1","Style7","check1","att3"
"2022-01-15T00:23:50Z","Event ID 5","POS Transaction ID 6","EPC 1","Site 10","READ POINT 1","2022-09-27T13:00:11Z","Product 5","Orange","S","Zara","Article6","Ref4","Style7","check3","atts"
"2021-09-18T07:18:10Z","Event ID 9","POS Transaction ID 5","EPC 5","Site 12","READ POINT 4","2023-06-19T23:15:22Z","Product 2","Blue","M","Puma","Article8","Ref2","Style1","check1","att2"
"2021-06-07T08:43:39Z","Event ID 5","POS Transaction ID 4","EPC 1","Site 10","READ POINT 5","2022-07-19T23:37:56Z","Product 5","Orange","XXL","Adidas","Article1","Ref1","Style5","check3","att2"
"2020-07-20T16:28:44Z","Event ID 3","POS Transaction ID 5","EPC 4","Site 13","READ POINT 4","2023-04-17T16:20:46Z","Product 1","Green","L","Nike","Article7","Ref5","Style4","check3","att2"
"2022-11-17T06:17:16Z","Event ID 1","POS Transaction ID 1","EPC 4","Site 12","READ POINT 4","2022-12-08T01:40:36Z","Product 3","Pink","XXXL","Zara","Article2","Ref1","Style2","check3","atts"
"2022-04-05T20:10:51Z","Event ID 5","POS Transaction ID 6","EPC 2","Site 13","READ POINT 5","2022-09-13T17:44:21Z","Product 2","Black","S","Nike","Article7","Ref4","Style8","check3","att2"
"2021-12-10T14:05:47Z","Event ID 4","POS Transaction ID 4","EPC 2","Site 12","READ POINT 1","2022-08-01T09:26:23Z","Product 4","Black","S","Zara","Article1","Ref3","Style3","check1","atts"
"2021-07-01T15:50:19Z","Event ID 7","POS Transaction ID 1","EPC 5","Site 10","READ POINT 5","2022-10-08T22:05:33Z","Product 5","Green","XXS","Nike","Article1","Ref4","Style1","check1","att4"
"2022-10-19T02:12:01Z","Event ID 1","POS Transaction ID 4","EPC 1","Site 12","READ POINT 1","2023-03-05T23:11:17Z","Product 4","Green","L","Bata","Article7","Ref7","Style8","check2","atts"
"2022-11-24T15:46:32Z","Event ID 4","POS Transaction ID 3","EPC 4","Site 11","READ POINT 4","2022-07-12T07:00:11Z","Product 2","Blue","M","Puma","Article1","Ref4","Style2","check1","att4"
"2021-08-08T12:43:53Z","Event ID 3","POS Transaction ID 6","EPC 4","Site 11","READ POINT 5","2023-06-22T16:43:09Z","Product 1","Orange","XL","Lee Cooper","Article5","Ref5","Style1","check1","att4"
"2021-02-05T11:13:27Z","Event ID 8","POS Transaction ID 5","EPC 5","Site 12","READ POINT 3","2022-09-23T02:07:05Z","Product 2","Black","XXL","Bata","Article6","Ref4","Style7","check2","atts"
"2022-05-21T20:58:06Z","Event ID 6","POS Transaction ID 4","EPC 4","Site 11","READ POINT 2","2023-04-25T19:47:16Z","Product 4","Black","L","Bata","Article7","Ref5","Style7","check1","att4"
"2022-07-30T07:03:09Z","Event ID 6","POS Transaction ID 4","EPC 1","Site 14","READ POINT 3","2022-11-24T17:51:39Z","Product 5","Orange","M","Lee Cooper","Article1","Ref6","Style7","check1","att2"
"2021-08-20T09:58:53Z","Event ID 9","POS Transaction ID 2","EPC 5","Site 14","READ POINT 4","2022-09-07T01:20:57Z","Product 2","Red","S","Bata","Article3","Ref7","Style7","check1","att3"
"2022-11-28T00:06:41Z","Event ID 7","POS Transaction ID 4","EPC 4","Site 14","READ POINT 3","2022-07-26T17:19:18Z","Product 1","Red","XXS","Puma","Article2","Ref2","Style2","check3","atts"
"2022-06-03T15:50:20Z","Event ID 1","POS Transaction ID 1","EPC 5","Site 10","READ POINT 1","2022-09-08T05:35:11Z","Product 1","Black","XXL","Nike","Article2","Ref8","Style2","check2","att2"
"2022-10-09T23:25:53Z","Event ID 9","POS Transaction ID 2","EPC 1","Site 15","READ POINT 2","2023-03-24T18:27:56Z","Product 5","Black","M","Puma","Artical4","Ref8","Style7","check1","att3"
"2022-12-09T20:04:26Z","Event ID 2","POS Transaction ID 5","EPC 2","Site 12","READ POINT 2","2023-05-10T13:52:37Z","Product 3","White","L","Madame","Article6","Ref6","Style4","check1","att4"
"2022-09-21T13:33:06Z","Event ID 2","POS Transaction ID 1","EPC 4","Site 11","READ POINT 2","2022-11-06T06:50:29Z","Product 4","Orange","XS","Madame","Artical4","Ref7","Style7","check2","att4"
"2022-12-26T11:57:31Z","Event ID 9","POS Transaction ID 5","EPC 5","Site 10","READ POINT 3","2022-11-29T07:03:25Z","Product 2","Red","XL","Lee Cooper","Article6","Ref5","Style8","check3","att2"
"2023-04-24T11:41:31Z","Event ID 1","POS Transaction ID 2","EPC 2","Site 11","READ POINT 2","2023-06-20T06:40:33Z","Product 1","Black","XXXL","Adidas","Article3","Ref2","Style7","check1","att4"
"2020-06-13T11:20:36Z","Event ID 1","POS Transaction ID 6","EPC 5","Site 10","READ POINT 2","2022-10-28T01:33:00Z","Product 2","White","M","Zara","Article7","Ref5","Style8","check2","att4"
"2020-07-03T17:26:24Z","Event ID 7","POS Transaction ID 4","EPC 1","Site 10","READ POINT 1","2022-09-20T15:38:17Z","Product 5","Yellow","XXXL","Adidas","Article6","Ref1","Style4","check2","att2"
"2023-02-16T09:46:45Z","Event ID 4","POS Transaction ID 6","EPC 5","Site 14","READ POINT 5","2023-03-31T06:15:03Z","Product 4","Black","S","Nike","Article5","Ref1","Style1","check2","att4"
