"Event Time","Event ID","EPC","Site Code","Exit Door ID","Last Prior Read","Last Read Time","Status","Video URL","Product Code","Color","Size","Manuf","Article","Style","Ref Number"
"2022-10-27T00:11:44Z","Event ID 4","EPC 2","Site 13","Exit Door ID 2","Last Prior Read 3","2022-08-07T17:01:44Z","Not a loss Event","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Product 5","Pink","XXS","Bata","Article6","Style1","Ref8"
"2023-03-26T19:38:52Z","Event ID 3","EPC 4","Site 11","Exit Door ID 1","Last Prior Read 7","2022-12-05T18:20:24Z","Transfer","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 1","Red","XXS","Nike","Article3","Style2","Ref6"
"2021-05-03T14:39:18Z","Event ID 9","EPC 1","Site 15","Exit Door ID 5","Last Prior Read 6","2022-10-22T14:18:23Z","Transfer","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 1","White","XS","Puma","Article2","Style8","Ref4"
"2022-03-08T07:57:04Z","Event ID 3","EPC 4","Site 15","Exit Door ID 4","Last Prior Read 7","2022-09-09T12:31:23Z","Omni Sale","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Product 3","Yellow","XS","Puma","Artical4","Style8","Ref6"
"2021-09-19T07:29:16Z","Event ID 1","EPC 3","Site 15","Exit Door ID 5","Last Prior Read 7","2022-12-12T01:59:03Z","Others","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Product 3","Pink","XXL","Nike","Article7","Style7","Ref7"
"2023-03-23T06:00:57Z","Event ID 1","EPC 3","Site 10","Exit Door ID 2","Last Prior Read 4","2022-06-22T08:46:57Z","Mixed","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","Product 3","Blue","XL","Bata","Artical4","Style8","Ref8"
"2022-05-28T08:33:14Z","Event ID 8","EPC 5","Site 14","Exit Door ID 1","Last Prior Read 7","2022-11-27T20:25:11Z","External Theft","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Product 4","Blue","L","Bata","Article5","Style5","Ref3"
"2020-07-23T06:43:40Z","Event ID 8","EPC 3","Site 11","Exit Door ID 2","Last Prior Read 3","2023-04-07T13:24:57Z","Mixed","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 3","Red","XS","Madame","Article8","Style2","Ref2"
"2020-10-13T10:16:44Z","Event ID 5","EPC 3","Site 13","Exit Door ID 5","Last Prior Read 2","2022-08-19T10:23:39Z","Organized Crime","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 4","White","L","Lee Cooper","Article1","Style3","Ref3"
"2023-02-22T18:00:30Z","Event ID 3","EPC 3","Site 12","Exit Door ID 5","Last Prior Read 7","2022-11-05T00:21:19Z","Transfer","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Product 4","White","M","Puma","Article1","Style4","Ref8"
"2023-02-15T22:22:34Z","Event ID 4","EPC 1","Site 11","Exit Door ID 4","Last Prior Read 6","2023-05-19T05:02:10Z","Omni Sale","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Product 4","White","XXS","Lee Cooper","Article7","Style2","Ref7"
"2022-07-09T01:33:37Z","Event ID 9","EPC 4","Site 10","Exit Door ID 5","Last Prior Read 1","2023-05-27T17:56:47Z","Others","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","Product 1","Pink","XS","Bata","Article3","Style1","Ref6"
"2022-01-10T18:42:07Z","Event ID 4","EPC 5","Site 13","Exit Door ID 1","Last Prior Read 7","2023-02-25T10:31:52Z","Employee","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Product 4","Orange","XXS","Lee Cooper","Article5","Style5","Ref4"
"2021-06-03T13:16:01Z","Event ID 8","EPC 2","Site 12","Exit Door ID 4","Last Prior Read 3","2023-06-06T21:11:12Z","Not a loss Event","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 1","Pink","S","Madame","Article3","Style8","Ref6"
"2022-07-07T05:05:41Z","Event ID 9","EPC 2","Site 13","Exit Door ID 2","Last Prior Read 7","2022-06-09T23:08:12Z","Mixed","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 1","Red","XL","Adidas","Article5","Style8","Ref2"
"2022-07-31T12:36:10Z","Event ID 1","EPC 2","Site 14","Exit Door ID 2","Last Prior Read 5","2022-10-07T20:10:11Z","Others","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Product 5","Red","XS","Lee Cooper","Article1","Style6","Ref3"
"2022-04-26T16:50:12Z","Event ID 2","EPC 4","Site 11","Exit Door ID 2","Last Prior Read 2","2023-05-14T06:24:18Z","Transfer","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Product 4","Blue","S","Bata","Article7","Style6","Ref5"
"2021-08-04T10:37:23Z","Event ID 5","EPC 1","Site 10","Exit Door ID 1","Last Prior Read 7","2023-03-28T18:10:00Z","Not a loss Event","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","Product 3","Blue","S","Adidas","Article1","Style4","Ref1"
"2020-06-20T14:40:23Z","Event ID 3","EPC 3","Site 15","Exit Door ID 3","Last Prior Read 7","2022-07-28T11:53:58Z","Employee","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Product 5","White","L","Zara","Article1","Style2","Ref3"
"2022-01-31T23:57:17Z","Event ID 4","EPC 2","Site 10","Exit Door ID 2","Last Prior Read 6","2023-02-22T14:08:58Z","Transfer","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 3","Pink","XS","Nike","Article1","Style3","Ref4"
"2022-03-21T18:53:28Z","Event ID 4","EPC 4","Site 14","Exit Door ID 5","Last Prior Read 1","2023-04-17T07:09:30Z","Others","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 5","Blue","L","Bata","Article2","Style7","Ref1"
"2021-06-14T01:47:58Z","Event ID 8","EPC 4","Site 12","Exit Door ID 1","Last Prior Read 7","2022-10-04T02:52:19Z","Transfer","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Product 4","Yellow","XL","Puma","Article7","Style8","Ref6"
"2022-08-15T08:10:07Z","Event ID 2","EPC 2","Site 14","Exit Door ID 2","Last Prior Read 4","2022-12-19T19:01:51Z","Employee","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Product 2","Black","XXL","Lee Cooper","Article2","Style6","Ref3"
"2021-10-23T22:02:42Z","Event ID 8","EPC 4","Site 11","Exit Door ID 1","Last Prior Read 6","2023-03-10T18:47:26Z","Others","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","Product 4","Yellow","S","Nike","Article7","Style1","Ref6"
"2023-03-04T00:09:55Z","Event ID 5","EPC 4","Site 14","Exit Door ID 2","Last Prior Read 7","2023-06-19T08:39:03Z","","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Product 3","Orange","M","Adidas","Article8","Style4","Ref2"
"2022-10-18T20:39:10Z","Event ID 6","EPC 3","Site 12","Exit Door ID 4","Last Prior Read 7","2023-06-17T12:22:55Z","Mixed","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 2","Blue","XXL","Bata","Article2","Style4","Ref6"
"2020-07-12T16:02:14Z","Event ID 4","EPC 4","Site 13","Exit Door ID 4","Last Prior Read 4","2022-11-14T04:44:04Z","Not a loss Event","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 4","Black","XXXL","Adidas","Article8","Style2","Ref8"
"2022-11-09T11:20:10Z","Event ID 6","EPC 3","Site 14","Exit Door ID 3","Last Prior Read 4","2022-06-10T03:54:50Z","Omni Sale","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Product 3","Green","XXL","Puma","Article3","Style7","Ref3"
"2022-03-26T02:05:26Z","Event ID 7","EPC 3","Site 15","Exit Door ID 3","Last Prior Read 1","2022-12-05T07:24:09Z","Others","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Product 3","Black","XXXL","Madame","Article1","Style1","Ref8"
"2021-03-06T02:09:08Z","Event ID 7","EPC 3","Site 10","Exit Door ID 3","Last Prior Read 7","2022-07-05T18:58:04Z","Organized Crime","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","Product 4","Yellow","L","Adidas","Article5","Style6","Ref3"
"2022-11-25T15:31:52Z","Event ID 2","EPC 3","Site 12","Exit Door ID 4","Last Prior Read 1","2022-06-17T22:38:45Z","Not a loss Event","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Product 1","Pink","XXL","Bata","Article7","Style4","Ref4"
"2021-04-24T09:42:50Z","Event ID 6","EPC 5","Site 10","Exit Door ID 4","Last Prior Read 7","2022-11-24T02:30:13Z","Mixed","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 2","Orange","XXS","Puma","Artical4","Style4","Ref3"
"2023-01-26T00:41:56Z","Event ID 4","EPC 5","Site 15","Exit Door ID 1","Last Prior Read 6","2023-04-15T22:39:12Z","Transfer","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 4","Red","XXXL","Nike","Article5","Style5","Ref4"
"2021-11-25T22:51:18Z","Event ID 8","EPC 1","Site 14","Exit Door ID 4","Last Prior Read 7","2023-04-30T01:23:18Z","Transfer","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Product 5","Black","S","Bata","Article1","Style5","Ref5"
"2023-04-11T07:13:58Z","Event ID 8","EPC 2","Site 15","Exit Door ID 4","Last Prior Read 7","2022-08-20T19:31:35Z","Not a loss Event","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Product 3","Pink","L","Puma","Artical4","Style1","Ref1"
"2020-08-24T19:24:31Z","Event ID 4","EPC 2","Site 14","Exit Door ID 1","Last Prior Read 1","2022-10-07T12:19:32Z","Others","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","Product 3","Blue","XXS","Puma","Article2","Style8","Ref8"
"2020-07-27T05:08:14Z","Event ID 1","EPC 2","Site 12","Exit Door ID 4","Last Prior Read 1","2022-06-28T12:16:13Z","Not a loss Event","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Product 3","Orange","XXL","Puma","Artical4","Style4","Ref5"
"2023-03-17T06:46:30Z","Event ID 9","EPC 4","Site 12","Exit Door ID 3","Last Prior Read 6","2023-05-30T22:38:32Z","Mixed","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 5","Yellow","XXS","Nike","Article5","Style7","Ref7"
"2023-02-07T12:57:06Z","Event ID 9","EPC 1","Site 13","Exit Door ID 1","Last Prior Read 5","2022-07-05T11:54:22Z","","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 1","Black","XL","Nike","Article8","Style5","Ref1"
"2021-05-28T09:26:38Z","Event ID 9","EPC 3","Site 12","Exit Door ID 5","Last Prior Read 2","2022-07-08T18:32:02Z","External Theft","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Product 1","Pink","XS","Zara","Article1","Style7","Ref2"
"2022-10-26T09:19:51Z","Event ID 4","EPC 1","Site 10","Exit Door ID 3","Last Prior Read 7","2023-05-06T14:35:25Z","Others","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Product 1","Yellow","XS","Puma","Article6","Style3","Ref6"
"2022-02-14T13:59:46Z","Event ID 6","EPC 2","Site 15","Exit Door ID 4","Last Prior Read 7","2023-03-20T03:54:20Z","Not a loss Event","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","Product 4","Blue","S","Bata","Artical4","Style8","Ref4"
"2020-11-29T15:51:19Z","Event ID 1","EPC 5","Site 15","Exit Door ID 5","Last Prior Read 7","2023-06-11T15:45:16Z","Transfer","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Product 4","Blue","XL","Nike","Article1","Style3","Ref8"
"2022-02-26T11:39:50Z","Event ID 2","EPC 3","Site 10","Exit Door ID 1","Last Prior Read 5","2022-08-13T04:03:45Z","Employee","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 2","Black","XS","Lee Cooper","Artical4","Style8","Ref3"
"2021-06-03T17:17:39Z","Event ID 3","EPC 3","Site 10","Exit Door ID 3","Last Prior Read 1","2022-09-07T12:22:05Z","Organized Crime","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 4","Black","M","Madame","Article1","Style1","Ref4"
"2022-02-07T18:50:55Z","Event ID 8","EPC 4","Site 11","Exit Door ID 2","Last Prior Read 6","2022-07-07T22:54:10Z","Omni Sale","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Product 2","Red","S","Madame","Article3","Style5","Ref2"
"2021-11-12T23:28:29Z","Event ID 9","EPC 2","Site 10","Exit Door ID 3","Last Prior Read 4","2022-09-05T13:17:17Z","Omni Sale","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Product 2","Black","XXXL","Adidas","Article8","Style5","Ref6"
"2022-01-19T22:41:01Z","Event ID 5","EPC 1","Site 14","Exit Door ID 3","Last Prior Read 2","2023-06-12T08:50:25Z","Mixed","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","Product 3","Orange","XXXL","Adidas","Article5","Style1","Ref7"
"2022-05-21T13:33:51Z","Event ID 3","EPC 3","Site 12","Exit Door ID 5","Last Prior Read 5","2022-07-11T23:35:29Z","Omni Sale","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Product 2","Yellow","XXXL","Nike","Article5","Style6","Ref1"
"2023-01-01T06:51:21Z","Event ID 1","EPC 2","Site 11","Exit Door ID 4","Last Prior Read 6","2023-06-08T06:44:34Z","External Theft","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 3","Red","XXXL","Adidas","Artical4","Style7","Ref2"
"2022-04-16T21:59:55Z","Event ID 1","EPC 1","Site 13","Exit Door ID 4","Last Prior Read 1","2022-07-06T16:24:25Z","Others","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 2","Green","XXXL","Zara","Article3","Style8","Ref7"
"2021-11-14T13:13:26Z","Event ID 7","EPC 4","Site 11","Exit Door ID 3","Last Prior Read 4","2023-01-23T03:17:48Z","Others","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Product 3","Black","XL","Puma","Artical4","Style4","Ref5"
"2022-05-25T10:29:54Z","Event ID 2","EPC 2","Site 13","Exit Door ID 5","Last Prior Read 7","2023-06-13T10:08:25Z","","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Product 2","Red","M","Zara","Artical4","Style1","Ref1"
"2021-08-27T19:57:42Z","Event ID 8","EPC 1","Site 14","Exit Door ID 1","Last Prior Read 3","2022-09-09T09:55:44Z","Organized Crime","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","Product 4","Orange","XXS","Madame","Artical4","Style5","Ref6"
"2023-01-17T07:21:22Z","Event ID 2","EPC 5","Site 10","Exit Door ID 1","Last Prior Read 6","2022-09-12T04:51:19Z","Transfer","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Product 4","Blue","XS","Nike","Article8","Style3","Ref1"
"2022-04-14T07:39:10Z","Event ID 1","EPC 5","Site 11","Exit Door ID 3","Last Prior Read 1","2022-07-07T04:48:10Z","Others","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 2","Yellow","XS","Lee Cooper","Article6","Style1","Ref5"
"2023-04-05T04:40:20Z","Event ID 7","EPC 5","Site 15","Exit Door ID 4","Last Prior Read 1","2023-04-15T13:24:33Z","","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 3","Pink","XXXL","Adidas","Artical4","Style5","Ref2"
"2020-06-04T14:24:22Z","Event ID 7","EPC 1","Site 12","Exit Door ID 3","Last Prior Read 5","2022-10-16T20:11:17Z","Others","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Product 5","Orange","S","Nike","Article5","Style7","Ref6"
"2021-02-06T11:57:47Z","Event ID 3","EPC 1","Site 11","Exit Door ID 2","Last Prior Read 2","2022-11-24T22:12:13Z","External Theft","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Product 5","Black","XL","Adidas","Artical4","Style2","Ref3"
"2020-08-26T15:27:11Z","Event ID 3","EPC 2","Site 15","Exit Door ID 2","Last Prior Read 5","2022-12-12T08:52:10Z","Omni Sale","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","Product 5","Yellow","XXL","Adidas","Article5","Style1","Ref2"
"2022-05-04T22:46:39Z","Event ID 4","EPC 1","Site 15","Exit Door ID 3","Last Prior Read 7","2023-03-18T03:50:56Z","Others","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Product 1","Red","L","Bata","Article8","Style7","Ref7"
"2020-08-19T14:17:05Z","Event ID 1","EPC 5","Site 12","Exit Door ID 5","Last Prior Read 7","2022-09-08T23:35:44Z","Others","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 5","White","XS","Lee Cooper","Article2","Style2","Ref7"
"2021-04-23T16:42:27Z","Event ID 6","EPC 2","Site 13","Exit Door ID 2","Last Prior Read 6","2023-03-11T20:16:12Z","External Theft","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 1","Pink","XS","Lee Cooper","Article8","Style8","Ref5"
"2021-01-18T21:20:49Z","Event ID 3","EPC 3","Site 11","Exit Door ID 1","Last Prior Read 7","2022-12-29T05:32:01Z","External Theft","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Product 5","Green","XXS","Nike","Article7","Style1","Ref8"
"2022-11-08T00:38:56Z","Event ID 8","EPC 1","Site 12","Exit Door ID 2","Last Prior Read 7","2023-01-26T13:57:35Z","Mixed","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Product 3","Pink","XL","Madame","Article8","Style6","Ref7"
"2021-06-17T06:45:11Z","Event ID 7","EPC 1","Site 12","Exit Door ID 5","Last Prior Read 7","2023-06-14T08:55:00Z","Organized Crime","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","Product 4","Black","S","Nike","Artical4","Style8","Ref2"
"2023-04-27T19:36:52Z","Event ID 3","EPC 3","Site 11","Exit Door ID 2","Last Prior Read 4","2023-05-29T03:52:44Z","Mixed","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Product 4","Blue","XXL","Lee Cooper","Artical4","Style6","Ref3"
"2021-11-30T00:09:11Z","Event ID 5","EPC 3","Site 13","Exit Door ID 3","Last Prior Read 7","2022-08-30T08:07:26Z","Others","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 4","Red","M","Adidas","Article3","Style7","Ref4"
"2023-05-28T00:19:11Z","Event ID 7","EPC 1","Site 12","Exit Door ID 1","Last Prior Read 7","2022-07-20T10:06:09Z","Mixed","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 5","Black","XL","Zara","Article2","Style5","Ref4"
"2021-11-10T06:13:40Z","Event ID 7","EPC 3","Site 15","Exit Door ID 3","Last Prior Read 6","2022-12-24T00:55:18Z","","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Product 5","Red","XL","Nike","Article6","Style3","Ref6"
"2023-04-26T22:14:15Z","Event ID 8","EPC 2","Site 15","Exit Door ID 4","Last Prior Read 5","2022-11-29T22:40:07Z","Not a loss Event","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Product 3","Blue","XL","Madame","Artical4","Style7","Ref1"
"2022-02-19T18:49:29Z","Event ID 1","EPC 4","Site 13","Exit Door ID 1","Last Prior Read 7","2022-11-22T07:24:55Z","Omni Sale","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","Product 3","Red","L","Puma","Article3","Style8","Ref4"
"2022-02-09T19:44:21Z","Event ID 5","EPC 4","Site 14","Exit Door ID 3","Last Prior Read 3","2023-04-10T07:56:57Z","Transfer","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Product 3","Blue","XS","Bata","Article2","Style1","Ref4"
"2021-04-01T17:58:24Z","Event ID 5","EPC 5","Site 11","Exit Door ID 1","Last Prior Read 3","2022-09-17T09:42:20Z","Transfer","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 4","Red","XXS","Nike","Article8","Style8","Ref7"
"2020-11-29T00:18:02Z","Event ID 3","EPC 1","Site 15","Exit Door ID 1","Last Prior Read 6","2022-09-25T03:00:58Z","Transfer","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 2","Blue","XXS","Madame","Article3","Style8","Ref6"
"2020-09-08T12:08:22Z","Event ID 2","EPC 3","Site 10","Exit Door ID 5","Last Prior Read 7","2022-10-22T07:47:19Z","Organized Crime","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerBlazes.mp4","Product 2","Black","XXS","Bata","Article3","Style1","Ref4"
"2021-01-06T12:17:54Z","Event ID 4","EPC 2","Site 14","Exit Door ID 2","Last Prior Read 7","2023-02-06T23:23:24Z","Not a loss Event","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerEscapes.mp4","Product 5","Black","S","Puma","Article8","Style7","Ref1"
"2021-05-26T22:47:32Z","Event ID 7","EPC 5","Site 15","Exit Door ID 1","Last Prior Read 2","2022-06-17T01:27:30Z","Not a loss Event","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ForBiggerFun.mp4","Product 4","Pink","S","Puma","Article7","Style8","Ref4"
"2022-04-25T13:12:12Z","Event ID 4","EPC 3","Site 13","Exit Door ID 1","Last Prior Read 2","2022-10-05T14:36:00Z","Not a loss Event","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4","Product 5","Pink","XS","Madame","Article2","Style8","Ref3"
"2021-02-03T23:32:25Z","Event ID 7","EPC 4","Site 11","Exit Door ID 2","Last Prior Read 5","2022-08-15T14:02:56Z","","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 3","Pink","M","Zara","Article5","Style8","Ref5"
"2021-12-13T06:35:50Z","Event ID 8","EPC 5","Site 11","Exit Door ID 3","Last Prior Read 7","2022-09-03T08:49:02Z","Omni Sale","http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/ElephantsDream.mp4","Product 1","Orange","L","Madame","Article7","Style5","Ref1"
